Total:	329634	491	2264	237300
Total:	329634	476	2259	235714
Total:	329634	536	2263	234890
Total:	329634	524	2258	233867
Total:	329634	567	2277	240156
Total:	329634	477	2269	235234
Total:	329634	470	2269	234590
Total:	329634	488	2268	236367
Total:	329634	472	2253	232205
Total:	329634	507	2257	233581
